INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-MAXPW_EASY_100_087.kp,384,479,1285,435,435,1285,1285,435,1285,435
GA-MAXPW_EASY_100_088.kp,306,380,1173,450,1173,1173,1173,1173,1173,1173
GA-MAXPW_EASY_100_089.kp,139,199,1043,220,1043,1043,1043,1043,1043,1043
GA-MAXPW_EASY_100_090.kp,315,219,1076,355,1076,1076,1076,1076,1076,1076
GA-MAXPW_EASY_100_091.kp,386,721,1476,727,1476,1476,1476,1476,1476,1476
GA-MAXPW_EASY_100_092.kp,297,382,1255,539,835,1255,1255,1255,1227,539
GA-MAXPW_EASY_100_093.kp,235,290,1116,366,1116,1116,1116,1116,1116,1116
GA-MAXPW_EASY_100_094.kp,155,128,1141,388,1141,1141,1141,1141,1141,1141
GA-MAXPW_EASY_100_095.kp,196,256,1333,575,1004,1004,1333,1004,885,1004
GA-MAXPW_EASY_100_096.kp,288,510,1232,513,1232,1232,1232,1232,1156,1149
GA-MAXPW_EASY_100_097.kp,344,255,1275,462,1275,1275,1275,1275,1275,1275
GA-MAXPW_EASY_100_098.kp,422,348,1243,500,713,1243,1243,1168,1036,1243
GA-MAXPW_EASY_100_099.kp,192,289,1108,431,1108,1108,1108,1108,1108,1108
GA-MAXP_EASY_100_000.kp,291,816,734,618,816,650,291,291,608,608
GA-MAXP_EASY_100_001.kp,147,1303,1218,1098,1098,1310,1088,906,1229,906
GA-MAXP_EASY_100_002.kp,283,924,853,641,924,924,770,924,924,924
GA-MAXP_EASY_100_003.kp,75,793,734,670,793,717,75,75,717,75
GA-MAXP_EASY_100_004.kp,560,926,842,839,926,703,624,926,753,926
GA-MAXP_EASY_100_005.kp,226,847,785,613,738,342,226,847,342,342
GA-MAXP_EASY_100_006.kp,473,919,842,799,887,397,473,919,397,919
GA-MAXP_EASY_100_007.kp,157,671,598,269,671,671,157,671,671,671
GA-MAXP_EASY_100_008.kp,500,839,763,555,839,839,500,839,839,839
GA-MAXP_EASY_100_009.kp,340,855,780,658,855,855,340,855,855,855
GA-MAXP_EASY_100_010.kp,303,715,650,567,715,715,567,715,715,715
GA-MAXP_EASY_100_011.kp,142,778,709,638,778,464,142,778,340,464
GA-MAXP_EASY_100_012.kp,263,778,713,610,610,442,263,449,633,263
GA-MAXP_EASY_100_013.kp,246,823,752,631,631,823,246,823,632,823
GA-MAXP_EASY_100_014.kp,297,730,660,488,730,730,297,730,730,730
GA-MAXP_EASY_100_015.kp,124,669,596,372,372,669,124,124,669,669
GA-MAXP_EASY_100_016.kp,133,539,450,324,539,539,133,539,539,539
GA-MAXP_EASY_100_017.kp,74,665,580,497,665,366,74,413,665,631
GA-MAXP_EASY_100_018.kp,263,725,624,501,725,474,263,263,256,263
GA-MAXP_EASY_100_019.kp,231,582,510,327,582,582,231,582,582,582
GA-MAXP_EASY_100_020.kp,306,795,712,552,795,795,532,795,795,795
GA-MAXP_EASY_100_021.kp,298,853,761,666,853,516,298,853,834,853
GA-MAXP_EASY_100_022.kp,267,859,777,691,859,651,546,859,711,859
GA-MAXP_EASY_100_023.kp,243,1109,1039,915,1109,542,243,1109,542,1109
GA-MAXP_EASY_100_024.kp,147,828,764,647,828,808,320,828,828,828
GA-MAXP_EASY_100_025.kp,236,995,914,731,995,262,236,995,662,995
GA-MAXP_EASY_100_026.kp,185,656,582,493,656,185,185,185,185,185
