"INSTANCE","WEIGHT","PROFIT","CORRELATION","DEF","MAXP","MAXPW","MINW","MARK","BEST","ORACLE"
"GA-MaxProfit_50_046.kp",0.624,0.481,0.343,564,1092,1049,955,440,"MAXP",1092
"GA-MaxProfit_50_047.kp",0.588,0.478,0.415,388,1108,1081,710,538,"MAXP",1108
"GA-MaxProfit_50_048.kp",0.545,0.434,0.424,456,1232,1180,961,NA,"MAXP",1232
"GA-MaxProfit_50_049.kp",0.59,0.506,0.402,225,1206,1159,1159,434,"MAXP",1206
"GA-MaxProfit_50_050.kp",0.626,0.522,0.364,615,1235,1198,1008,NA,"MAXP",1235
"GA-MaxProfit_50_051.kp",0.506,0.444,0.57,NA,1191,1153,817,451,"MAXP",1191
"GA-MaxProfit_50_052.kp",0.559,0.43,0.415,409,1140,1114,926,553,"MAXP",1140
"GA-MaxProfit_50_053.kp",0.536,0.484,0.444,427,1150,1121,843,521,"MAXP",1150
"GA-MaxProfit_50_054.kp",0.565,0.395,0.439,438,1059,1007,692,478,"MAXP",1059
"GA-MaxProfit_50_055.kp",0.674,0.524,0.517,321,879,839,652,399,"MAXP",879
"GA-MaxProfit_50_056.kp",0.579,0.424,0.409,287,1178,1132,1047,484,"MAXP",1178
"GA-MaxProfit_50_057.kp",0.708,0.455,0.27,341,898,841,774,558,"MAXP",898
"GA-MaxProfit_50_058.kp",0.62,0.452,0.479,279,985,956,575,NA,"MAXP",985
